Graph name;|V|;|E|;|pins|;Number of parts;Imbalance;alg_dist;zoltan;patoh;hmetis
release-flickr-links_x0_50;93061;93061;1485612;4;1.03;87929.0;87872.0;92071.0;90269.0
release-flickr-links_x0_50;93061;93061;1485612;4;1.05;87821.0;87818.0;91998.0;90817.0
release-flickr-links_x0_50;93061;93061;1485612;4;1.1;87546.0;87782.0;91920.0;91309.0
release-flickr-links_x0_50;93061;93061;1485612;64;1.03;91087.0;91608.0;93061.0;92715.0
release-flickr-links_x0_50;93061;93061;1485612;64;1.05;91075.0;91504.0;93061.0;92666.0
release-flickr-links_x0_50;93061;93061;1485612;64;1.1;91082.0;91590.0;93061.0;92681.0
release-flickr-links_x0_50;93061;93061;1485612;8;1.03;89845.0;90309.0;93017.0;91888.0
release-flickr-links_x0_50;93061;93061;1485612;8;1.05;89758.0;90268.0;93016.0;91874.0
release-flickr-links_x0_50;93061;93061;1485612;8;1.1;89542.0;90147.0;93006.0;91972.0
release-youtube-links_x0_10;11578;11578;46258;128;1.03;6704.0;6886.0;9186.0;7219.0
release-youtube-links_x0_10;11578;11578;46258;128;1.05;6696.0;6897.0;9260.0;7203.0
release-youtube-links_x0_10;11578;11578;46258;128;1.1;6738.0;6919.0;9195.0;7185.0
release-youtube-links_x0_10;11578;11578;46258;16;1.03;5799.0;6068.0;7526.0;6136.0
release-youtube-links_x0_10;11578;11578;46258;16;1.05;5811.0;6035.0;7495.0;6189.0
release-youtube-links_x0_10;11578;11578;46258;16;1.1;5855.0;6057.0;7539.0;6113.0
release-youtube-links_x0_10;11578;11578;46258;2;1.03;3286.0;3311.0;3563.0;3751.0
release-youtube-links_x0_10;11578;11578;46258;2;1.05;3161.0;3221.0;3296.0;3783.0
release-youtube-links_x0_10;11578;11578;46258;2;1.1;2964.0;3071.0;3035.0;3778.0
release-youtube-links_x0_10;11578;11578;46258;32;1.03;6105.0;6321.0;8209.0;6617.0
release-youtube-links_x0_10;11578;11578;46258;32;1.05;6109.0;6350.0;8259.0;6623.0
release-youtube-links_x0_10;11578;11578;46258;32;1.1;6174.0;6390.0;8254.0;6626.0
release-youtube-links_x0_10;11578;11578;46258;4;1.03;4551.0;4861.0;5327.0;4944.0
release-youtube-links_x0_10;11578;11578;46258;4;1.05;4547.0;4871.0;5355.0;5034.0
release-youtube-links_x0_10;11578;11578;46258;4;1.1;4646.0;4854.0;5113.0;5059.0
release-youtube-links_x0_10;11578;11578;46258;64;1.03;6318.0;6562.0;8747.0;7053.0
release-youtube-links_x0_10;11578;11578;46258;64;1.05;6340.0;6573.0;8725.0;7080.0
release-youtube-links_x0_10;11578;11578;46258;64;1.1;6345.0;6596.0;8770.0;7067.0
release-youtube-links_x0_10;11578;11578;46258;8;1.03;5325.0;5583.0;6555.0;5632.0
release-youtube-links_x0_10;11578;11578;46258;8;1.05;5308.0;5548.0;6627.0;5626.0
release-youtube-links_x0_10;11578;11578;46258;8;1.1;5379.0;5595.0;6609.0;5725.0
release-youtube-links_x0_100;115782;115782;463050;128;1.03;63941.0;66215.0;90363.0;65689.0
release-youtube-links_x0_100;115782;115782;463050;128;1.05;63917.0;66304.0;90513.0;65662.0
release-youtube-links_x0_100;115782;115782;463050;128;1.1;64468.0;66362.0;90218.0;65701.0
release-youtube-links_x0_100;115782;115782;463050;16;1.03;58158.0;60417.0;75573.0;60265.0
release-youtube-links_x0_100;115782;115782;463050;16;1.05;57998.0;60519.0;75617.0;61850.0
release-youtube-links_x0_100;115782;115782;463050;16;1.1;58580.0;60497.0;75292.0;59973.0
release-youtube-links_x0_100;115782;115782;463050;2;1.03;35772.0;34690.0;35714.0;38115.0
release-youtube-links_x0_100;115782;115782;463050;2;1.05;33350.0;33776.0;34848.0;38364.0
release-youtube-links_x0_100;115782;115782;463050;2;1.1;30820.0;31546.0;33374.0;38970.0
release-youtube-links_x0_100;115782;115782;463050;32;1.03;60927.0;63129.0;82314.0;61503.0
release-youtube-links_x0_100;115782;115782;463050;32;1.05;60698.0;63292.0;82078.0;62068.0
release-youtube-links_x0_100;115782;115782;463050;32;1.1;61297.0;63436.0;82088.0;62119.0
release-youtube-links_x0_100;115782;115782;463050;4;1.03;46024.0;49276.0;54974.0;49886.0
release-youtube-links_x0_100;115782;115782;463050;4;1.05;45803.0;49153.0;54428.0;50362.0
release-youtube-links_x0_100;115782;115782;463050;4;1.1;46682.0;48862.0;53428.0;52189.0
release-youtube-links_x0_100;115782;115782;463050;64;1.03;62726.0;65008.0;86632.0;63758.0
release-youtube-links_x0_100;115782;115782;463050;64;1.05;62576.0;65024.0;87046.0;63386.0
release-youtube-links_x0_100;115782;115782;463050;64;1.1;63258.0;65305.0;86818.0;63193.0
release-youtube-links_x0_100;115782;115782;463050;8;1.03;53678.0;56233.0;66690.0;56509.0
release-youtube-links_x0_100;115782;115782;463050;8;1.05;53481.0;56182.0;66760.0;57455.0
