Graph name;|V|;|E|;|pins|;Number of parts;Imbalance;alg_dist;zoltan;patoh;hmetis
ca-AstroPh;18772;18772;396220;32;1.1;10223.0;10280.0;12617.0;10816.0
ca-AstroPh;18772;18772;396220;4;1.03;8605.0;8750.0;9822.0;8702.0
ca-AstroPh;18772;18772;396220;4;1.05;8596.0;8316.0;9698.0;8604.0
ca-AstroPh;18772;18772;396220;4;1.1;8556.0;8597.0;9609.0;8652.0
ca-AstroPh;18772;18772;396220;64;1.03;10481.0;10601.0;13105.0;11607.0
ca-AstroPh;18772;18772;396220;64;1.05;10445.0;10620.0;13240.0;11510.0
ca-AstroPh;18772;18772;396220;64;1.1;10466.0;10642.0;13092.0;11503.0
ca-AstroPh;18772;18772;396220;8;1.03;9411.0;9486.0;11140.0;9588.0
ca-AstroPh;18772;18772;396220;8;1.05;9350.0;9482.0;11061.0;9547.0
ca-AstroPh;18772;18772;396220;8;1.1;9360.0;9384.0;10912.0;9508.0
ca-CondMat;23133;23133;186994;128;1.03;9248.0;9375.0;11379.0;9837.0
ca-CondMat;23133;23133;186994;128;1.05;9238.0;9431.0;11224.0;9825.0
ca-CondMat;23133;23133;186994;128;1.1;9248.0;9433.0;11289.0;9774.0
ca-CondMat;23133;23133;186994;16;1.03;8057.0;8198.0;9498.0;8089.0
ca-CondMat;23133;23133;186994;16;1.05;8078.0;8223.0;9479.0;8062.0
ca-CondMat;23133;23133;186994;16;1.1;8059.0;8191.0;9385.0;8064.0
ca-CondMat;23133;23133;186994;2;1.03;4179.0;4160.0;4142.0;4436.0
ca-CondMat;23133;23133;186994;2;1.05;4113.0;4120.0;4100.0;4399.0
ca-CondMat;23133;23133;186994;2;1.1;3958.0;3927.0;3893.0;4247.0
ca-CondMat;23133;23133;186994;32;1.03;8433.0;8591.0;10194.0;8758.0
ca-CondMat;23133;23133;186994;32;1.05;8418.0;8616.0;10159.0;8749.0
ca-CondMat;23133;23133;186994;32;1.1;8444.0;8650.0;10200.0;8726.0
ca-CondMat;23133;23133;186994;4;1.03;6381.0;6449.0;7003.0;6428.0
ca-CondMat;23133;23133;186994;4;1.05;6412.0;6398.0;7058.0;6381.0
ca-CondMat;23133;23133;186994;4;1.1;6225.0;6264.0;6933.0;6415.0
ca-CondMat;23133;23133;186994;64;1.03;8769.0;8895.0;10826.0;9328.0
ca-CondMat;23133;23133;186994;64;1.05;8765.0;8957.0;10731.0;9303.0
ca-CondMat;23133;23133;186994;64;1.1;8788.0;8974.0;10751.0;9299.0
ca-CondMat;23133;23133;186994;8;1.03;7482.0;7667.0;8506.0;7353.0
ca-CondMat;23133;23133;186994;8;1.05;7522.0;7665.0;8594.0;7391.0
ca-CondMat;23133;23133;186994;8;1.1;7487.0;7599.0;8573.0;7363.0
ca-GrQc;5242;5242;28992;128;1.03;1345.0;1369.0;1631.0;1482.0
ca-GrQc;5242;5242;28992;128;1.05;1349.0;1347.0;1599.0;1454.0
ca-GrQc;5242;5242;28992;128;1.1;1332.0;1334.0;1616.0;1408.0
ca-GrQc;5242;5242;28992;16;1.03;892.0;916.0;1049.0;963.0
ca-GrQc;5242;5242;28992;16;1.05;909.0;912.0;1071.0;980.0
ca-GrQc;5242;5242;28992;16;1.1;874.0;919.0;1051.0;971.0
ca-GrQc;5242;5242;28992;2;1.03;433.0;434.0;429.0;467.0
ca-GrQc;5242;5242;28992;2;1.05;421.0;420.0;415.0;463.0
ca-GrQc;5242;5242;28992;2;1.1;399.0;385.0;412.0;461.0
ca-GrQc;5242;5242;28992;32;1.03;1018.0;1034.0;1205.0;1107.0
ca-GrQc;5242;5242;28992;32;1.05;1006.0;1032.0;1235.0;1090.0
ca-GrQc;5242;5242;28992;32;1.1;997.0;1029.0;1192.0;1092.0
ca-GrQc;5242;5242;28992;4;1.03;610.0;637.0;676.0;674.0
ca-GrQc;5242;5242;28992;4;1.05;615.0;641.0;649.0;678.0
ca-GrQc;5242;5242;28992;4;1.1;611.0;638.0;643.0;674.0
ca-GrQc;5242;5242;28992;64;1.03;1132.0;1150.0;1384.0;1243.0
ca-GrQc;5242;5242;28992;64;1.05;1115.0;1156.0;1385.0;1225.0
ca-GrQc;5242;5242;28992;64;1.1;1127.0;1153.0;1379.0;1210.0
ca-GrQc;5242;5242;28992;8;1.03;772.0;793.0;901.0;855.0
ca-GrQc;5242;5242;28992;8;1.05;782.0;809.0;904.0;860.0
ca-GrQc;5242;5242;28992;8;1.1;770.0;781.0;875.0;853.0
ca-HepPh;12008;12008;237042;128;1.03;5482.0;5568.0;6863.0;5884.0
ca-HepPh;12008;12008;237042;128;1.05;5513.0;5629.0;6894.0;5872.0
ca-HepPh;12008;12008;237042;128;1.1;5500.0;5587.0;6820.0;5780.0
ca-HepPh;12008;12008;237042;16;1.03;4684.0;4851.0;5695.0;4836.0
ca-HepPh;12008;12008;237042;16;1.05;4678.0;4824.0;5626.0;4780.0
ca-HepPh;12008;12008;237042;16;1.1;4688.0;4878.0;5554.0;4793.0
ca-HepPh;12008;12008;237042;2;1.03;2687.0;2729.0;2698.0;3055.0
ca-HepPh;12008;12008;237042;2;1.05;2671.0;2690.0;2708.0;3076.0
ca-HepPh;12008;12008;237042;2;1.1;2545.0;2539.0;2574.0;2962.0
ca-HepPh;12008;12008;237042;32;1.03;4945.0;5071.0;6081.0;5161.0
ca-HepPh;12008;12008;237042;32;1.05;4940.0;5073.0;6070.0;5225.0
ca-HepPh;12008;12008;237042;32;1.1;4822.0;5042.0;6043.0;5185.0
ca-HepPh;12008;12008;237042;4;1.03;3770.0;3762.0;4252.0;3875.0
ca-HepPh;12008;12008;237042;4;1.05;3727.0;3842.0;4267.0;3843.0
ca-HepPh;12008;12008;237042;4;1.1;3721.0;3762.0;4202.0;3848.0
ca-HepPh;12008;12008;237042;64;1.03;5150.0;5231.0;6538.0;5596.0
ca-HepPh;12008;12008;237042;64;1.05;5153.0;5289.0;6465.0;5524.0
ca-HepPh;12008;12008;237042;64;1.1;5140.0;5236.0;6477.0;5523.0
ca-HepPh;12008;12008;237042;8;1.03;4392.0;4585.0;5051.0;4366.0
ca-HepPh;12008;12008;237042;8;1.05;4348.0;4527.0;5055.0;4445.0
ca-HepPh;12008;12008;237042;8;1.1;4367.0;4506.0;5079.0;4392.0
ca-HepTh;9877;9877;51996;128;1.03;3256.0;3313.0;3845.0;3319.0
ca-HepTh;9877;9877;51996;128;1.05;3257.0;3321.0;3809.0;3276.0
ca-HepTh;9877;9877;51996;128;1.1;3262.0;3305.0;3784.0;3261.0
ca-HepTh;9877;9877;51996;16;1.03;2630.0;2637.0;3056.0;2682.0
ca-HepTh;9877;9877;51996;16;1.05;2619.0;2626.0;3046.0;2673.0
ca-HepTh;9877;9877;51996;16;1.1;2602.0;2627.0;2988.0;2657.0
ca-HepTh;9877;9877;51996;2;1.03;1380.0;1381.0;1361.0;1499.0
ca-HepTh;9877;9877;51996;2;1.05;1349.0;1370.0;1364.0;1478.0
ca-HepTh;9877;9877;51996;2;1.1;1280.0;1289.0;1298.0;1486.0
ca-HepTh;9877;9877;51996;32;1.03;2814.0;2868.0;3321.0;2921.0
ca-HepTh;9877;9877;51996;32;1.05;2795.0;2848.0;3336.0;2921.0
ca-HepTh;9877;9877;51996;32;1.1;2809.0;2868.0;3302.0;2934.0
ca-HepTh;9877;9877;51996;4;1.03;1970.0;2010.0;2139.0;2042.0
ca-HepTh;9877;9877;51996;4;1.05;1998.0;1936.0;2114.0;2041.0
ca-HepTh;9877;9877;51996;4;1.1;1966.0;1959.0;2098.0;2014.0
ca-HepTh;9877;9877;51996;64;1.03;2971.0;3035.0;3653.0;3110.0
ca-HepTh;9877;9877;51996;64;1.05;2991.0;3030.0;3555.0;3110.0
ca-HepTh;9877;9877;51996;64;1.1;2982.0;3036.0;3535.0;3092.0
ca-HepTh;9877;9877;51996;8;1.03;2395.0;2430.0;2681.0;2398.0
ca-HepTh;9877;9877;51996;8;1.05;2413.0;2395.0;2636.0;2407.0
ca-HepTh;9877;9877;51996;8;1.1;2381.0;2422.0;2670.0;2397.0
cit-HepPh;34546;32158;421578;128;1.03;21101.0;21132.0;23603.0;22291.0
cit-HepPh;34546;32158;421578;128;1.05;21057.0;21051.0;23423.0;22236.0
cit-HepPh;34546;32158;421578;128;1.1;20945.0;21083.0;23398.0;22079.0
cit-HepPh;34546;32158;421578;16;1.03;15029.0;15239.0;17237.0;16582.0
cit-HepPh;34546;32158;421578;16;1.05;15004.0;14952.0;17305.0;16544.0
cit-HepPh;34546;32158;421578;16;1.1;14832.0;14830.0;16787.0;16439.0
cit-HepPh;34546;32158;421578;2;1.03;5398.0;5407.0;5503.0;5378.0
cit-HepPh;34546;32158;421578;2;1.05;5392.0;5420.0;5505.0;5383.0
cit-HepPh;34546;32158;421578;2;1.1;5389.0;5405.0;5416.0;5383.0
cit-HepPh;34546;32158;421578;32;1.03;17862.0;17661.0;19848.0;19037.0
cit-HepPh;34546;32158;421578;32;1.05;17620.0;17759.0;20080.0;18986.0
cit-HepPh;34546;32158;421578;32;1.1;17506.0;17604.0;19888.0;18824.0
cit-HepPh;34546;32158;421578;4;1.03;9469.0;8789.0;9941.0;10119.0
cit-HepPh;34546;32158;421578;4;1.05;9437.0;8772.0;9798.0;10013.0
cit-HepPh;34546;32158;421578;4;1.1;9237.0;8858.0;9763.0;10056.0
cit-HepPh;34546;32158;421578;64;1.03;19593.0;19731.0;21982.0;20751.0
cit-HepPh;34546;32158;421578;64;1.05;19521.0;19672.0;21804.0;20662.0
cit-HepPh;34546;32158;421578;64;1.1;19427.0;19499.0;21655.0;20530.0
cit-HepPh;34546;32158;421578;8;1.03;12399.0;12375.0;13933.0;13363.0
cit-HepPh;34546;32158;421578;8;1.05;12270.0;12327.0;13638.0;13432.0
cit-HepPh;34546;32158;421578;8;1.1;12197.0;12047.0;13982.0;13264.0
cit-HepTh;27770;25059;352807;128;1.03;15845.0;15960.0;17398.0;16478.0
cit-HepTh;27770;25059;352807;128;1.05;15843.0;15908.0;17389.0;16398.0
cit-HepTh;27770;25059;352807;128;1.1;15795.0;15852.0;17405.0;16326.0
cit-HepTh;27770;25059;352807;16;1.03;12781.0;12909.0;13965.0;13234.0
cit-HepTh;27770;25059;352807;16;1.05;12799.0;12739.0;13930.0;13211.0
cit-HepTh;27770;25059;352807;16;1.1;12623.0;12750.0;13890.0;13127.0
cit-HepTh;27770;25059;352807;2;1.03;4045.0;4070.0;4018.0;5637.0
cit-HepTh;27770;25059;352807;2;1.05;3974.0;3960.0;3996.0;6142.0
cit-HepTh;27770;25059;352807;2;1.1;3725.0;3743.0;3779.0;5384.0
cit-HepTh;27770;25059;352807;32;1.03;13945.0;14042.0;15371.0;14524.0
cit-HepTh;27770;25059;352807;32;1.05;13814.0;13923.0;15341.0;14512.0
cit-HepTh;27770;25059;352807;32;1.1;13845.0;13860.0;15392.0;14481.0
cit-HepTh;27770;25059;352807;4;1.03;9136.0;8918.0;9509.0;10115.0
cit-HepTh;27770;25059;352807;4;1.05;9015.0;9156.0;9688.0;9848.0
cit-HepTh;27770;25059;352807;4;1.1;8974.0;8833.0;9639.0;9847.0
cit-HepTh;27770;25059;352807;64;1.03;14952.0;15009.0;16522.0;15520.0
cit-HepTh;27770;25059;352807;64;1.05;14928.0;14998.0;16537.0;15496.0
cit-HepTh;27770;25059;352807;64;1.1;14898.0;14926.0;16497.0;15407.0
cit-HepTh;27770;25059;352807;8;1.03;11388.0;11194.0;12724.0;11899.0
cit-HepTh;27770;25059;352807;8;1.05;11091.0;11134.0;12136.0;11860.0
cit-HepTh;27770;25059;352807;8;1.1;11068.0;11159.0;12579.0;11827.0
email-Enron;36692;36692;367662;128;1.03;12162.0;12322.0;16762.0;14355.0
email-Enron;36692;36692;367662;128;1.05;12117.0;12287.0;16565.0;14215.0
email-Enron;36692;36692;367662;128;1.1;12078.0;12272.0;16705.0;13813.0
email-Enron;36692;36692;367662;16;1.03;9353.0;9417.0;11942.0;9722.0
email-Enron;36692;36692;367662;16;1.05;9467.0;9484.0;12321.0;9741.0
email-Enron;36692;36692;367662;16;1.1;9395.0;9463.0;11521.0;9522.0
email-Enron;36692;36692;367662;2;1.03;4354.0;4101.0;5395.0;3563.0
email-Enron;36692;36692;367662;2;1.05;4231.0;3651.0;5310.0;3304.0
email-Enron;36692;36692;367662;2;1.1;3755.0;2967.0;5202.0;3063.0
email-Enron;36692;36692;367662;32;1.03;10421.0;10468.0;13565.0;10749.0
email-Enron;36692;36692;367662;32;1.05;10284.0;10531.0;13458.0;10650.0
email-Enron;36692;36692;367662;32;1.1;10397.0;10370.0;13419.0;10575.0
email-Enron;36692;36692;367662;4;1.03;6834.0;7085.0;7830.0;7063.0
email-Enron;36692;36692;367662;4;1.05;7068.0;6914.0;8016.0;7017.0
email-Enron;36692;36692;367662;4;1.1;6961.0;6795.0;8102.0;6892.0
email-Enron;36692;36692;367662;64;1.03;11114.0;11102.0;15714.0;12111.0
email-Enron;36692;36692;367662;64;1.05;11159.0;11086.0;15363.0;12069.0
email-Enron;36692;36692;367662;64;1.1;11026.0;11227.0;15393.0;11898.0
